
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeandiff0",="SCEMeandiff1",="SCEMeandiff2",="SCEMeandiff3",="SCEVardiff0",="SCEVardiff1",="SCEVardiff2",="SCEVardiff3"

="L.InfExp_Mean_ch",="",="-0.417***",="-0.586***",="-0.634***",="",="",="",=""
="",="",="(0.006)",="(0.008)",="(0.012)",="",="",="",=""

="L2.InfExp_Mean_ch",="",="",="-0.307***",="-0.392***",="",="",="",=""
="",="",="",="(0.008)",="(0.012)",="",="",="",=""

="L3.InfExp_Mean_ch",="",="",="-0.125***",="-0.248***",="",="",="",=""
="",="",="",="(0.008)",="(0.012)",="",="",="",=""

="L4.InfExp_Mean_ch",="",="",="",="-0.145***",="",="",="",=""
="",="",="",="",="(0.014)",="",="",="",=""

="L5.InfExp_Mean_ch",="",="",="",="-0.079***",="",="",="",=""
="",="",="",="",="(0.012)",="",="",="",=""

="L6.InfExp_Mean_ch",="",="",="",="-0.034***",="",="",="",=""
="",="",="",="",="(0.009)",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="-0.395***",="-0.566***",="-0.664***"
="",="",="",="",="",="",="(0.009)",="(0.013)",="(0.020)"

="L2.InfExp_Var_ch",="",="",="",="",="",="",="-0.295***",="-0.429***"
="",="",="",="",="",="",="",="(0.013)",="(0.021)"

="L3.InfExp_Var_ch",="",="",="",="",="",="",="-0.123***",="-0.274***"
="",="",="",="",="",="",="",="(0.008)",="(0.018)"

="L4.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.165***"
="",="",="",="",="",="",="",="",="(0.018)"

="L5.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.058***"
="",="",="",="",="",="",="",="",="(0.015)"

="L6.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.014"
="",="",="",="",="",="",="",="",="(0.009)"

="_cons",="-0.048***",="-0.038**",="-0.027",="-0.009",="-0.733***",="-0.751***",="-0.622***",="-0.499***"
="",="(0.012)",="(0.012)",="(0.014)",="(0.015)",="(0.068)",="(0.049)",="(0.052)",="(0.067)"

="N",="63123",="49791",="31658",="14991",="64723",="50961",="32160",="15022"
="r2",="0.000",="0.197",="0.276",="0.294",="0.000",="0.188",="0.268",="0.321"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
