
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="SPFCPIMeandiff0",="SPFCPIMeandiff1",="SPFCPIMeandiff2",="SPFCPIMeandiff3",="SPFPCEMeandiff0",="SPFPCEMeandiff1",="SPFPCEMeandiff2",="SPFPCEMeandiff3",="SPFCPIVardiff0",="SPFCPIVardiff1",="SPFCPIVardiff2",="SPFCPIVardiff3",="SPFPCEVardiff0",="SPFPCEVardiff1",="SPFPCEVardiff2",="SPFPCEVardiff3"

="L.InfExp_Mean_ch",="",="-0.295***",="-0.344***",="-0.367***",="",="-0.303***",="-0.348***",="-0.364***",="",="",="",="",="",="",="",=""
="",="",="(0.034)",="(0.044)",="(0.045)",="",="(0.043)",="(0.059)",="(0.062)",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="",="",="-0.179***",="-0.242***",="",="",="-0.162*",="-0.200**",="",="",="",="",="",="",="",=""
="",="",="",="(0.047)",="(0.049)",="",="",="(0.061)",="(0.067)",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="",="",="-0.097**",="",="",="",="-0.088*",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.032)",="",="",="",="(0.036)",="",="",="",="",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.393**",="-0.568***",="-0.543**",="",="-0.444***",="-0.602***",="-0.658***"
="",="",="",="",="",="",="",="",="",="",="(0.136)",="(0.146)",="(0.177)",="",="(0.094)",="(0.127)",="(0.145)"

="L2.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="",="-0.322**",="-0.278*",="",="",="-0.289*",="-0.404**"
="",="",="",="",="",="",="",="",="",="",="",="(0.104)",="(0.132)",="",="",="(0.110)",="(0.137)"

="L3.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="",="",="0.048",="",="",="",="-0.292"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.096)",="",="",="",="(0.154)"

="_cons",="-0.005",="-0.004",="-0.011",="-0.015",="0.001",="0.008",="-0.002",="-0.007",="-0.002",="-0.001",="0.004",="0.004",="0.000",="0.002",="0.004",="0.005"
="",="(0.023)",="(0.024)",="(0.026)",="(0.026)",="(0.020)",="(0.020)",="(0.022)",="(0.022)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="N",="1636",="1430",="1266",="1141",="1402",="1190",="1022",="898",="1202",="950",="765",="625",="1078",="842",="657",="519"
="r2",="0.000",="0.086",="0.112",="0.128",="0.000",="0.090",="0.112",="0.120",="0.000",="0.120",="0.265",="0.242",="0.000",="0.233",="0.321",="0.385"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
