
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="SCE_FE_bias",="SCE_FE_lag1",="SCE_FE_lag4",="SCE_FE_lag8",="SCE_FE_arlag1",="SCE_FE_arlag4",="SCE_FE_arlag8"

="L.InfExp_Mean",="",="0.387***",="",="",="",="",=""
="",="",="(0.008)",="",="",="",="",=""

="L2.InfExp_Mean",="",="0.243***",="",="",="",="",=""
="",="",="(0.007)",="",="",="",="",=""

="L3.InfExp_Mean",="",="0.178***",="",="",="",="",=""
="",="",="(0.007)",="",="",="",="",=""

="L4.InfExp_Mean",="",="",="0.332***",="",="",="",=""
="",="",="",="(0.012)",="",="",="",=""

="L5.InfExp_Mean",="",="",="0.212***",="",="",="",=""
="",="",="",="(0.012)",="",="",="",=""

="L6.InfExp_Mean",="",="",="0.138***",="",="",="",=""
="",="",="",="(0.011)",="",="",="",=""

="L7.InfExp_Mean",="",="",="0.0777***",="",="",="",=""
="",="",="",="(0.009)",="",="",="",=""

="L8.InfExp_Mean",="",="",="",="0.354***",="",="",=""
="",="",="",="",="(0.029)",="",="",=""

="L9.InfExp_Mean",="",="",="",="0.165***",="",="",=""
="",="",="",="",="(0.028)",="",="",=""

="L10.InfExp_Mean",="",="",="",="0.117***",="",="",=""
="",="",="",="",="(0.024)",="",="",=""

="L11.InfExp_Mean",="",="",="",="0.0247",="",="",=""
="",="",="",="",="(0.019)",="",="",=""

="L.InfExp_FE",="",="",="",="",="0.425***",="",=""
="",="",="",="",="",="(0.007)",="",=""

="L2.InfExp_FE",="",="",="",="",="0.241***",="",=""
="",="",="",="",="",="(0.007)",="",=""

="L3.InfExp_FE",="",="",="",="",="0.163***",="",=""
="",="",="",="",="",="(0.006)",="",=""

="L4.InfExp_FE",="",="",="",="",="",="0.367***",=""
="",="",="",="",="",="",="(0.011)",=""

="L5.InfExp_FE",="",="",="",="",="",="0.212***",=""
="",="",="",="",="",="",="(0.011)",=""

="L6.InfExp_FE",="",="",="",="",="",="0.119***",=""
="",="",="",="",="",="",="(0.010)",=""

="L7.InfExp_FE",="",="",="",="",="",="0.0523***",=""
="",="",="",="",="",="",="(0.009)",=""

="L8.InfExp_FE",="",="",="",="",="",="",="0.353***"
="",="",="",="",="",="",="",="(0.028)"

="L9.InfExp_FE",="",="",="",="",="",="",="0.152***"
="",="",="",="",="",="",="",="(0.027)"

="L10.InfExp_FE",="",="",="",="",="",="",="0.0963***"
="",="",="",="",="",="",="",="(0.023)"

="L11.InfExp_FE",="",="",="",="",="",="",="0.00695"
="",="",="",="",="",="",="",="(0.019)"

="_cons",="1.752***",="-0.957***",="-0.841***",="-0.575***",="0.235***",="0.324***",="0.476***"
="",="(0.009)",="(0.016)",="(0.027)",="(0.069)",="(0.008)",="(0.014)",="(0.040)"

="N",="84037",="39679",="17815",="3039",="39679",="17815",="3039"
="r2",="0",="0.453",="0.381",="0.284",="0.551",="0.442",="0.291"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
