
="",="(1)",="(2)",="(3)",="(4)"
="",="SCEMeanrvlv0",="SCEMeanrvlv1",="SCEVarrvlv0",="SCEVarrvlv1"

="L.InfExp_Mean_rv",="",="0.292***",="",=""
="",="",="(0.019)",="",=""

="SCE_Mean_ct50",="",="0.026",="",=""
="",="",="(0.316)",="",=""

="L.InfExp_Var_rv",="",="",="",="0.268***"
="",="",="",="",="(0.022)"

="_cons",="-0.447***",="-0.213",="-5.673***",="-2.066***"
="",="(0.039)",="(0.886)",="(0.181)",="(0.209)"

="N",="8479",="3321",="8826",="3444"
="r2",="0.000",="0.103",="0.000",="0.092"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
