
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="SPFCPIMeanrvlv0",="SPFCPIMeanrvlv1",="SPFCPIMeanrvlv2",="SPFCPIMeanrvlv3",="SPFPCEMeanrvlv0",="SPFPCEMeanrvlv1",="SPFPCEMeanrvlv2",="SPFPCEMeanrvlv3",="SPFCPIVarrvlv0",="SPFCPIVarrvlv1",="SPFCPIVarrvlv2",="SPFCPIVarrvlv3",="SPFPCEVarrvlv0",="SPFPCEVarrvlv1",="SPFPCEVarrvlv2",="SPFPCEVarrvlv3"

="L.InfExp_Mean_rv",="",="0.539***",="0.418***",="0.387***",="",="0.606***",="0.435***",="0.369***",="",="",="",="",="",="",="",=""
="",="",="(0.031)",="(0.043)",="(0.052)",="",="(0.034)",="(0.042)",="(0.049)",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean_rv",="",="",="0.218***",="0.166**",="",="",="0.261***",="0.246***",="",="",="",="",="",="",="",=""
="",="",="",="(0.040)",="(0.053)",="",="",="(0.047)",="(0.058)",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_rv",="",="",="",="0.134**",="",="",="",="0.116",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.048)",="",="",="",="(0.069)",="",="",="",="",="",="",="",=""

="SPFCPI_ct50",="",="-0.444***",="-0.391**",="-0.454**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.105)",="(0.124)",="(0.138)",="",="",="",="",="",="",="",="",="",="",="",=""

="SPFPCE_ct50",="",="",="",="",="",="-0.432***",="-0.413***",="-0.504***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.109)",="(0.111)",="(0.138)",="",="",="",="",="",="",="",=""

="L.InfExp_Var_rv",="",="",="",="",="",="",="",="",="",="0.290*",="0.529***",="0.581***",="",="0.577***",="0.477***",="0.344*"
="",="",="",="",="",="",="",="",="",="",="(0.122)",="(0.117)",="(0.145)",="",="(0.080)",="(0.130)",="(0.148)"

="L2.InfExp_Var_rv",="",="",="",="",="",="",="",="",="",="",="-0.059",="-0.209",="",="",="0.360*",="0.205*"
="",="",="",="",="",="",="",="",="",="",="",="(0.125)",="(0.127)",="",="",="(0.143)",="(0.098)"

="L3.InfExp_Var_rv",="",="",="",="",="",="",="",="",="",="",="",="0.353**",="",="",="",="0.390*"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.121)",="",="",="",="(0.149)"

="_cons",="-1.257***",="0.329",="0.351",="0.546*",="-1.095***",="0.365",="0.428*",="0.641**",="-0.034***",="-0.011**",="-0.008*",="-0.005",="-0.039***",="-0.019**",="-0.010**",="-0.007*"
="",="(0.045)",="(0.191)",="(0.237)",="(0.269)",="(0.039)",="(0.188)",="(0.191)",="(0.228)",="(0.005)",="(0.004)",="(0.003)",="(0.004)",="(0.006)",="(0.006)",="(0.003)",="(0.003)"

="N",="1337",="1045",="822",="652",="1111",="867",="683",="549",="1189",="877",="663",="504",="1082",="801",="604",="458"
="r2",="0.000",="0.335",="0.355",="0.372",="0.000",="0.409",="0.444",="0.452",="0.000",="0.124",="0.284",="0.408",="0.000",="0.353",="0.583",="0.723"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
