
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SPFCPIMeanrvlv1",="SPFCPIMeanrvlv2",="SPFCPIMeanrvlv3",="SPFPCEMeanrvlv1",="SPFPCEMeanrvlv2",="SPFPCEMeanrvlv3"

="L.InfExp_Mean",="0.0357",="0.0168",="-0.00208",="0.0157",="0.0338",="0.0747"
="",="(0.028)",="(0.036)",="(0.033)",="(0.028)",="(0.046)",="(0.048)"

="L2.InfExp_Mean",="",="0.0129",="-0.00521",="",="-0.0117",="-0.0578"
="",="",="(0.038)",="(0.049)",="",="(0.047)",="(0.051)"

="L3.InfExp_Mean",="",="",="0.00712",="",="",="-0.0161"
="",="",="",="(0.042)",="",="",="(0.052)"

="L.SPFCPI_ct50",="0.00579",="0.0819",="0.111",="",="",=""
="",="(0.092)",="(0.096)",="(0.103)",="",="",=""

="L2.SPFCPI_ct50",="",="-0.101",="0.0568",="",="",=""
="",="",="(0.113)",="(0.175)",="",="",=""

="L3.SPFCPI_ct50",="",="",="-0.185",="",="",=""
="",="",="",="(0.105)",="",="",=""

="L.SPFPCE_ct50",="",="",="",="-0.0105",="-0.00885",="-0.0356"
="",="",="",="",="(0.081)",="(0.112)",="(0.105)"

="L2.SPFPCE_ct50",="",="",="",="",="0.00756",="0.139"
="",="",="",="",="",="(0.100)",="(0.146)"

="L3.SPFPCE_ct50",="",="",="",="",="",="-0.150"
="",="",="",="",="",="",="(0.112)"

="_cons",="0.723***",="0.783***",="0.844***",="0.750***",="0.715***",="0.833***"
="",="(0.173)",="(0.187)",="(0.198)",="(0.124)",="(0.124)",="(0.126)"

="N",="1337",="1195",="1068",="1111",="962",="835"
="pvtest",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="r2",="0.001",="0.001",="0.004",="0.000",="0.001",="0.005"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
