
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_FElvl",="SCE_FEdiff",="SCE_Varlvl",="SCE_Vardiff"

="L3.InfExp_Mean",="0.372***",="",="",="",="",=""
="",="(0.00980)",="",="",="",="",=""

="L4.InfExp_Mean",="0.224***",="",="",="",="",=""
="",="(0.00928)",="",="",="",="",=""

="L5.InfExp_Mean",="0.141***",="",="",="",="",=""
="",="(0.00828)",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="-0.00272",="",="",="",=""
="",="",="(0.00806)",="",="",="",=""

="L4.InfExp_Mean_ch",="",="-0.00111",="",="",="",=""
="",="",="(0.0108)",="",="",="",=""

="L5.InfExp_Mean_ch",="",="-0.00978",="",="",="",=""
="",="",="(0.0104)",="",="",="",=""

="L3.InfExp_FE",="",="",="0.388***",="",="",=""
="",="",="",="(0.0121)",="",="",=""

="L4.InfExp_FE",="",="",="0.223***",="",="",=""
="",="",="",="(0.00997)",="",="",=""

="L5.InfExp_FE",="",="",="0.136***",="",="",=""
="",="",="",="(0.00877)",="",="",=""

="L3.InfExp_FE_ch",="",="",="",="-0.00582",="",=""
="",="",="",="",="(0.00867)",="",=""

="L4.InfExp_FE_ch",="",="",="",="0.00194",="",=""
="",="",="",="",="(0.0105)",="",=""

="L5.InfExp_FE_ch",="",="",="",="-0.00500",="",=""
="",="",="",="",="(0.00998)",="",=""

="L3.InfExp_Var",="",="",="",="",="0.371***",=""
="",="",="",="",="",="(0.0121)",=""

="L4.InfExp_Var",="",="",="",="",="0.248***",=""
="",="",="",="",="",="(0.0111)",=""

="L5.InfExp_Var",="",="",="",="",="0.144***",=""
="",="",="",="",="",="(0.00931)",=""

="L3.InfExp_Var_ch",="",="",="",="",="",="-0.00358"
="",="",="",="",="",="",="(0.0163)"

="L4.InfExp_Var_ch",="",="",="",="",="",="0.0103"
="",="",="",="",="",="",="(0.0167)"

="L5.InfExp_Var_ch",="",="",="",="",="",="0.0141"
="",="",="",="",="",="",="(0.0123)"

="_cons",="0.771***",="-0.000380",="0.327***",="-0.00606",="0.740***",="-0.163*"
="",="(0.0267)",="(0.0149)",="(0.0624)",="(0.0317)",="(0.0637)",="(0.0759)"

="N",="28847",="20740",="28847",="20740",="29563",="21035"
="R-sq",="0.432",="0.000",="0.453",="0.000",="0.529",="0.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
