
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPI_Meanlvl",="SPFCPI_Meandiff",="SPFPCE_Meanlvl",="SPFPCE_Meandiff",="SPFCPI_FElvl",="SPFCPI_FEdiff",="SPFPCE_FElvl",="SPFPCE_FEdiff",="SPFCPI_Varlvl",="SPFCPI_Vardiff",="SPFPCE_Varlvl",="SPFPCE_Vardiff"

="L3.InfExp_Mean",="0.452***",="",="0.385***",="",="",="",="",="",="",="",="",=""
="",="(0.0388)",="",="(0.0706)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean",="0.0960",="",="0.121*",="",="",="",="",="",="",="",="",=""
="",="(0.0603)",="",="(0.0525)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean",="0.212***",="",="0.104*",="",="",="",="",="",="",="",="",=""
="",="(0.0460)",="",="(0.0478)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="-0.0135",="",="-0.0172",="",="",="",="",="",="",="",=""
="",="",="(0.0378)",="",="(0.0529)",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean_ch",="",="-0.0309",="",="-0.0240",="",="",="",="",="",="",="",=""
="",="",="(0.0479)",="",="(0.0541)",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean_ch",="",="0.0143",="",="-0.109*",="",="",="",="",="",="",="",=""
="",="",="(0.0318)",="",="(0.0409)",="",="",="",="",="",="",="",=""

="L3.InfExp_FE",="",="",="",="",="0.417**",="",="0.399*",="",="",="",="",=""
="",="",="",="",="",="(0.137)",="",="(0.188)",="",="",="",="",=""

="L4.InfExp_FE",="",="",="",="",="-0.304*",="",="-0.374*",="",="",="",="",=""
="",="",="",="",="",="(0.118)",="",="(0.175)",="",="",="",="",=""

="L5.InfExp_FE",="",="",="",="",="0.138",="",="0.176",="",="",="",="",=""
="",="",="",="",="",="(0.0813)",="",="(0.142)",="",="",="",="",=""

="L3.InfExp_FE_ch",="",="",="",="",="",="0.0262",="",="-0.0723",="",="",="",=""
="",="",="",="",="",="",="(0.0554)",="",="(0.0505)",="",="",="",=""

="L4.InfExp_FE_ch",="",="",="",="",="",="-0.377*",="",="-0.376",="",="",="",=""
="",="",="",="",="",="",="(0.161)",="",="(0.210)",="",="",="",=""

="L5.InfExp_FE_ch",="",="",="",="",="",="0.0302",="",="-0.0122",="",="",="",=""
="",="",="",="",="",="",="(0.0745)",="",="(0.0731)",="",="",="",=""

="L3.InfExp_Var",="",="",="",="",="",="",="",="",="0.178",="",="0.256",=""
="",="",="",="",="",="",="",="",="",="(0.149)",="",="(0.137)",=""

="L4.InfExp_Var",="",="",="",="",="",="",="",="",="0.201",="",="0.607***",=""
="",="",="",="",="",="",="",="",="",="(0.123)",="",="(0.134)",=""

="L5.InfExp_Var",="",="",="",="",="",="",="",="",="0.306**",="",="0.0270",=""
="",="",="",="",="",="",="",="",="",="(0.107)",="",="(0.102)",=""

="L3.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.165",="",="-0.0000339"
="",="",="",="",="",="",="",="",="",="",="(0.153)",="",="(0.170)"

="L4.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.198",="",="0.456*"
="",="",="",="",="",="",="",="",="",="",="(0.248)",="",="(0.205)"

="L5.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.141",="",="-0.178"
="",="",="",="",="",="",="",="",="",="",="(0.133)",="",="(0.176)"

="_cons",="0.561***",="-0.0239",="0.697***",="-0.0197",="0.121",="0.0147",="0.262",="0.0460",="0.0234***",="0.000928",="0.0117**",="0.00580"
="",="(0.0710)",="(0.0179)",="(0.102)",="(0.0243)",="(0.106)",="(0.0760)",="(0.152)",="(0.0839)",="(0.00444)",="(0.00465)",="(0.00337)",="(0.00444)"

="N",="2501",="1898",="939",="751",="2377",="1811",="914",="734",="691",="494",="576",="384"
="R-sq",="0.648",="0.002",="0.346",="0.011",="0.116",="0.160",="0.084",="0.144",="0.350",="0.031",="0.686",="0.373"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
