
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_FE_lag6",="SCE_FE_arlag712",="SCE_FE_arlag12",="SCE_FE_lag12"

="L6.InfExp_Mean",="-1.629",="",="",=""
="",="(2.512)",="",="",=""

="L7.InfExp_Mean",="0.236",="",="",=""
="",="(3.781)",="",="",=""

="L8.InfExp_Mean",="4.190",="",="",=""
="",="(2.516)",="",="",=""

="L12.InfExp_Mean",="",="",="",="4.059***"
="",="",="",="",="(0.665)"

="L6.InfExp_FE",="",="1.552***",="",=""
="",="",="(0.345)",="",=""

="L7.InfExp_FE",="",="-0.709",="",=""
="",="",="(0.582)",="",=""

="L8.InfExp_FE",="",="0.233",="",=""
="",="",="(0.556)",="",=""

="L9.InfExp_FE",="",="0.147",="",=""
="",="",="(0.649)",="",=""

="L10.InfExp_FE",="",="0.290",="",=""
="",="",="(0.685)",="",=""

="L11.InfExp_FE",="",="-0.0978",="",=""
="",="",="(0.662)",="",=""

="L12.InfExp_FE",="",="-0.600",="0.751***",=""
="",="",="(0.390)",="(0.169)",=""

="_cons",="-8.356***",="-0.176",="-0.505",="-12.61***"
="",="(2.265)",="(0.144)",="(0.388)",="(2.222)"

="N",="90",="86",="86",="86"
="r2",="0.146",="0.739",="0.181",="0.253"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
