
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SPFCPI_FE_const",="SPFCPI_FE_lag4",="SPFCPI_FE_arlag4",="SPFCPI_FE_arlag13",="SPFPCE_FE_const",="SPFPCE_FE_lag4",="SPFPCE_FE_arlag4",="SPFPCE_FE_arlag13"

="L4.InfExp_Mean",="",="0.696",="",="",="",="0.516",="",=""
="",="",="(0.570)",="",="",="",="(0.559)",="",=""

="L4.InfExp_FE",="",="",="0.555**",="",="",="",="0.455**",=""
="",="",="",="(0.169)",="",="",="",="(0.141)",=""

="L.InfExp_FE",="",="",="",="1.111***",="",="",="",="1.249***"
="",="",="",="",="(0.088)",="",="",="",="(0.121)"

="L2.InfExp_FE",="",="",="",="-0.0232",="",="",="",="-0.259"
="",="",="",="",="(0.087)",="",="",="",="(0.180)"

="L3.InfExp_FE",="",="",="",="-0.230***",="",="",="",="-0.136"
="",="",="",="",="(0.060)",="",="",="",="(0.111)"

="_cons",="-0.319*",="-1.714",="-0.256",="-0.0449",="-0.202",="-1.129",="-0.189",="-0.0294"
="",="(0.153)",="(1.150)",="(0.151)",="(0.070)",="(0.135)",="(0.966)",="(0.135)",="(0.055)"

="N",="62",="58",="58",="59",="62",="58",="58",="59"
="r2",="0",="0.0279",="0.209",="0.851",="0",="0.0146",="0.156",="0.862"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
