
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeanrvlv0",="SCEMeanrvlv1",="SCEMeanrvlv2",="SCEMeanrvlv3",="SCEVarrvlv0",="SCEVarrvlv1",="SCEVarrvlv2",="SCEVarrvlv3"

="L24.InfExp_Mean_rv",="",="0.233*",="",="",="",="",="",=""
="",="",="(0.100)",="",="",="",="",="",=""

="L25.InfExp_Mean_rv",="",="",="0.225*",="",="",="",="",=""
="",="",="",="(0.103)",="",="",="",="",=""

="L26.InfExp_Mean_rv",="",="",="",="0.254*",="",="",="",=""
="",="",="",="",="(0.098)",="",="",="",=""

="L12.InfExp_FE",="",="-0.330***",="-0.327***",="-0.331***",="",="",="",=""
="",="",="(0.046)",="(0.047)",="(0.047)",="",="",="",=""

="L24.InfExp_Var_rv",="",="",="",="",="",="-0.679**",="",=""
="",="",="",="",="",="",="(0.202)",="",=""

="L25.InfExp_Var_rv",="",="",="",="",="",="",="-0.740**",=""
="",="",="",="",="",="",="",="(0.216)",=""

="L26.InfExp_Var_rv",="",="",="",="",="",="",="",="-0.874***"
="",="",="",="",="",="",="",="",="(0.201)"

="L12.InfExp_FE2",="",="",="",="",="",="0.510***",="0.568***",="0.600***"
="",="",="",="",="",="",="(0.101)",="(0.092)",="(0.091)"

="_cons",="-0.106",="0.504***",="0.510***",="0.530***",="0.114",="-1.121***",="-1.237***",="-1.366***"
="",="(0.054)",="(0.074)",="(0.080)",="(0.080)",="(0.180)",="(0.247)",="(0.204)",="(0.237)"

="N",="74",="50",="49",="48",="74",="50",="49",="48"
="r2",="0.000",="0.595",="0.600",="0.616",="0.000",="0.372",="0.402",="0.448"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
