
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPIMeanrvlv1",="SPFCPIMeanrvlv2",="SPFCPIMeanrvlv3",="SPFPCEMeanrvlv1",="SPFPCEMeanrvlv2",="SPFPCEMeanrvlv3",="SPFCPIVarrvlv1",="SPFCPIVarrvlv2",="SPFCPIVarrvlv3",="SPFPCEVarrvlv1",="SPFPCEVarrvlv2",="SPFPCEVarrvlv3"

="InfExp_Mean",="1.335***",="1.927***",="1.873***",="1.429***",="2.021***",="1.995***",="",="",="",="",="",=""
="",="(0.126)",="(0.231)",="(0.250)",="(0.131)",="(0.234)",="(0.254)",="",="",="",="",="",=""

="L.InfExp_Mean",="",="-0.759**",="-0.567",="",="-0.759**",="-0.647",="",="",="",="",="",=""
="",="",="(0.253)",="(0.399)",="",="(0.255)",="(0.404)",="",="",="",="",="",=""

="L2.InfExp_Mean",="",="",="-0.170",="",="",="-0.0973",="",="",="",="",="",=""
="",="",="",="(0.276)",="",="",="(0.280)",="",="",="",="",="",=""

="InfExp_Var",="",="",="",="",="",="",="0.0878",="0.139",="0.184",="0.311*",="0.320",="0.305"
="",="",="",="",="",="",="",="(0.142)",="(0.164)",="(0.158)",="(0.139)",="(0.165)",="(0.173)"

="L.InfExp_Var",="",="",="",="",="",="",="",="-0.150",="-0.371*",="",="-0.0331",="-0.0431"
="",="",="",="",="",="",="",="",="(0.167)",="(0.178)",="",="(0.171)",="(0.186)"

="L2.InfExp_Var",="",="",="",="",="",="",="",="",="0.429*",="",="",="0.0221"
="",="",="",="",="",="",="",="",="",="(0.162)",="",="",="(0.178)"

="_cons",="-0.639*",="-0.312",="-0.248",="-0.707**",="-0.414",="-0.394",="0.140***",="0.165***",="0.104*",="0.0866*",="0.0925*",="0.0935*"
="",="(0.258)",="(0.268)",="(0.296)",="(0.238)",="(0.247)",="(0.273)",="(0.036)",="(0.043)",="(0.050)",="(0.034)",="(0.040)",="(0.045)"

="N",="61",="60",="59",="61",="60",="59",="61",="60",="59",="61",="60",="59"
="btestpv",="0.010",="0.000",="0.001",="0.002",="0.000",="0.000",="0.000",="0.000",="0.042",="0.012",="0.024",="0.043"
="r2",="0.655",="0.700",="0.702",="0.668",="0.711",="0.712",="0.006",="0.018",="0.129",="0.078",="0.075",="0.068"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
