
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="Q9_mean",="Q9_mean_ch",="Q9_var",="Q9_var_ch",="Q9_disg",="Q9_disg_ch",="CPI1y",="CPI1y_ch",="PCE1y",="PCE1y_ch",="CORECPI1y",="CORECPI1y_ch",="COREPCE1y",="COREPCE1y_ch"

="L.Q9_mean",="1.206***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0987)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_mean",="-0.253",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.154)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_mean",="0.282",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.150)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_mean",="-0.190",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.153)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_mean",="-0.0748",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.111)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_mean_ch",="",="0.214*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.101)",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_mean_ch",="",="-0.0761",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.104)",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_mean_ch",="",="0.214*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.105)",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_mean_ch",="",="0.0104",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.105)",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_mean_ch",="",="0.0424",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.104)",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_var",="",="",="0.685***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.0996)",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_var",="",="",="0.243*",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.118)",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_var",="",="",="-0.210",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.117)",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_var",="",="",="0.286*",="",="",="",="",="",="",="",="",="",="",=""
