
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Mean",="SCE_Var",="SCE_Disg",="SCE_FE"

="L.InfExp_Mean_ch",="0.215",="",="",=""
="",="(0.123)",="",="",=""

="L2.InfExp_Mean_ch",="-0.0664",="",="",=""
="",="(0.101)",="",="",=""

="L3.InfExp_Mean_ch",="0.211*",="",="",=""
="",="(0.092)",="",="",=""

="L4.InfExp_Mean_ch",="0.0155",="",="",=""
="",="(0.134)",="",="",=""

="L.InfExp_Var_ch",="",="-0.314",="",=""
="",="",="(0.161)",="",=""

="L2.InfExp_Var_ch",="",="-0.0715",="",=""
="",="",="(0.117)",="",=""

="L3.InfExp_Var_ch",="",="-0.283*",="",=""
="",="",="(0.117)",="",=""

="L4.InfExp_Var_ch",="",="-0.000597",="",=""
="",="",="(0.087)",="",=""

="L.InfExp_Disg_ch",="",="",="-0.195",=""
="",="",="",="(0.166)",=""

="L2.InfExp_Disg_ch",="",="",="-0.0832",=""
="",="",="",="(0.091)",=""

="L3.InfExp_Disg_ch",="",="",="-0.183**",=""
="",="",="",="(0.065)",=""

="L4.InfExp_Disg_ch",="",="",="0.0136",=""
="",="",="",="(0.078)",=""

="L.InfExp_FE_ch",="",="",="",="0.498***"
="",="",="",="",="(0.136)"

="L2.InfExp_FE_ch",="",="",="",="-0.0922"
="",="",="",="",="(0.140)"

="L3.InfExp_FE_ch",="",="",="",="0.209"
="",="",="",="",="(0.117)"

="L4.InfExp_FE_ch",="",="",="",="-0.0288"
="",="",="",="",="(0.118)"

="N",="107",="107",="107",="104"
="r2",="0.0793",="0.177",="0.0674",="0.259"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
