
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Mean",="SCE_Var",="SCE_Disg",="SCE_FE"

="L.InfExp_Mean",="1.232***",="",="",=""
="",="(0.127)",="",="",=""

="L2.InfExp_Mean",="-0.333",="",="",=""
="",="(0.210)",="",="",=""

="L3.InfExp_Mean",="0.374*",="",="",=""
="",="(0.160)",="",="",=""

="L4.InfExp_Mean",="-0.218",="",="",=""
="",="(0.171)",="",="",=""

="L5.InfExp_Mean",="-0.0141",="",="",=""
="",="(0.176)",="",="",=""

="L6.InfExp_Mean",="-0.0582",="",="",=""
="",="(0.179)",="",="",=""

="L7.InfExp_Mean",="-0.0453",="",="",=""
="",="(0.207)",="",="",=""

="L8.InfExp_Mean",="0.168",="",="",=""
="",="(0.224)",="",="",=""

="L9.InfExp_Mean",="-0.227",="",="",=""
="",="(0.197)",="",="",=""

="L10.InfExp_Mean",="0.411*",="",="",=""
="",="(0.168)",="",="",=""

="L11.InfExp_Mean",="-0.467**",="",="",=""
="",="(0.163)",="",="",=""

="L12.InfExp_Mean",="0.0883",="",="",=""
="",="(0.123)",="",="",=""

="L.InfExp_Var",="",="0.728***",="",=""
="",="",="(0.178)",="",=""

="L2.InfExp_Var",="",="0.181",="",=""
="",="",="(0.190)",="",=""

="L3.InfExp_Var",="",="-0.223*",="",=""
="",="",="(0.107)",="",=""

="L4.InfExp_Var",="",="0.273",="",=""
="",="",="(0.140)",="",=""

="L5.InfExp_Var",="",="-0.0338",="",=""
="",="",="(0.143)",="",=""

="L6.InfExp_Var",="",="-0.00918",="",=""
="",="",="(0.111)",="",=""

="L7.InfExp_Var",="",="0.0603",="",=""
="",="",="(0.111)",="",=""

="L8.InfExp_Var",="",="0.00586",="",=""
="",="",="(0.125)",="",=""

="L9.InfExp_Var",="",="-0.0277",="",=""
="",="",="(0.131)",="",=""

="L10.InfExp_Var",="",="0.162",="",=""
="",="",="(0.127)",="",=""

="L11.InfExp_Var",="",="-0.147",="",=""
="",="",="(0.111)",="",=""

="L12.InfExp_Var",="",="0.0771",="",=""
="",="",="(0.108)",="",=""

="L.InfExp_Disg",="",="",="0.817***",=""
="",="",="",="(0.187)",=""

="L2.InfExp_Disg",="",="",="0.0732",=""
="",="",="",="(0.194)",=""

="L3.InfExp_Disg",="",="",="-0.0848",=""
="",="",="",="(0.126)",=""

="L4.InfExp_Disg",="",="",="0.200",=""
="",="",="",="(0.105)",=""

="L5.InfExp_Disg",="",="",="-0.0789",=""
="",="",="",="(0.124)",=""

="L6.InfExp_Disg",="",="",="0.0482",=""
="",="",="",="(0.125)",=""

="L7.InfExp_Disg",="",="",="0.0300",=""
="",="",="",="(0.145)",=""

="L8.InfExp_Disg",="",="",="-0.00387",=""
="",="",="",="(0.153)",=""

="L9.InfExp_Disg",="",="",="0.0133",=""
="",="",="",="(0.134)",=""

="L10.InfExp_Disg",="",="",="0.0473",=""
="",="",="",="(0.125)",=""

="L11.InfExp_Disg",="",="",="-0.0350",=""
="",="",="",="(0.143)",=""

="L12.InfExp_Disg",="",="",="0.0214",=""
="",="",="",="(0.111)",=""

="L.InfExp_FE",="",="",="",="1.410***"
="",="",="",="",="(0.138)"

="L2.InfExp_FE",="",="",="",="-0.669**"
="",="",="",="",="(0.214)"

="L3.InfExp_FE",="",="",="",="0.422*"
="",="",="",="",="(0.197)"

="L4.InfExp_FE",="",="",="",="-0.324"
="",="",="",="",="(0.224)"

="L5.InfExp_FE",="",="",="",="0.312"
="",="",="",="",="(0.197)"

="L6.InfExp_FE",="",="",="",="-0.259"
="",="",="",="",="(0.201)"

="L7.InfExp_FE",="",="",="",="0.202"
="",="",="",="",="(0.216)"

="L8.InfExp_FE",="",="",="",="0.107"
="",="",="",="",="(0.206)"

="L9.InfExp_FE",="",="",="",="-0.401*"
="",="",="",="",="(0.197)"

="L10.InfExp_FE",="",="",="",="0.456*"
="",="",="",="",="(0.217)"

="L11.InfExp_FE",="",="",="",="-0.391"
="",="",="",="",="(0.220)"

="L12.InfExp_FE",="",="",="",="0.0499"
="",="",="",="",="(0.137)"

="N",="100",="100",="100",="97"
="r2",="0.974",="0.893",="0.871",="0.976"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
