
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SCE_Mean",="SPFCPI_Mean",="SPFPCE_Mean",="SCE_Var",="SPFCPI_Var",="SPFPCE_Var",="SCE_Disg",="SPFCPI_Disg",="SPFPCE_Disg",="SCE_FE",="SPFCPI_FE",="SPFPCE_FE"

="L3.InfExp_Mean",="0.601",="0.857*",="0.811**",="",="",="",="",="",="",="",="",=""
="",="(0.497)",="(0.350)",="(0.302)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean",="0.233",="-0.132",="-0.161",="",="",="",="",="",="",="",="",=""
="",="(0.834)",="(0.461)",="(0.479)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean",="-0.666",="-0.184",="-0.195",="",="",="",="",="",="",="",="",=""
="",="(0.618)",="(0.351)",="(0.355)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Var",="",="",="",="0.580*",="0.104",="0.0889",="",="",="",="",="",=""
="",="",="",="",="(0.267)",="(0.126)",="(0.126)",="",="",="",="",="",=""

="L4.InfExp_Var",="",="",="",="0.202",="0.467**",="0.515***",="",="",="",="",="",=""
="",="",="",="",="(0.379)",="(0.134)",="(0.138)",="",="",="",="",="",=""

="L5.InfExp_Var",="",="",="",="0.230",="0.299*",="0.156",="",="",="",="",="",=""
="",="",="",="",="(0.277)",="(0.138)",="(0.157)",="",="",="",="",="",=""

="L3.InfExp_Disg",="",="",="",="",="",="",="0.415*",="0.230",="0.168",="",="",=""
="",="",="",="",="",="",="",="(0.150)",="(0.189)",="(0.144)",="",="",=""

="L4.InfExp_Disg",="",="",="",="",="",="",="0.238",="0.0766",="0.0839",="",="",=""
="",="",="",="",="",="",="",="(0.176)",="(0.142)",="(0.182)",="",="",=""

="L5.InfExp_Disg",="",="",="",="",="",="",="-0.271",="0.145",="0.0659",="",="",=""
="",="",="",="",="",="",="",="(0.303)",="(0.123)",="(0.113)",="",="",=""

="L3.InfExp_FE",="",="",="",="",="",="",="",="",="",="1.489***",="1.070**",="1.051**"
="",="",="",="",="",="",="",="",="",="",="(0.385)",="(0.310)",="(0.315)"

="L4.InfExp_FE",="",="",="",="",="",="",="",="",="",="-0.433",="-0.546",="-0.707"
="",="",="",="",="",="",="",="",="",="",="(0.653)",="(0.529)",="(0.602)"

="L5.InfExp_FE",="",="",="",="",="",="",="",="",="",="-0.400",="-0.932",="-0.359"
="",="",="",="",="",="",="",="",="",="",="(0.473)",="(0.544)",="(0.524)"

="N",="29",="57",="57",="29",="57",="57",="29",="57",="57",="28",="53",="53"
="r2",="0.153",="0.250",="0.226",="0.284",="0.399",="0.379",="0.198",="0.0789",="0.0482",="0.529",="0.416",="0.319"
="ar2",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
