
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_Varlvl",="SCE_Vardiff"

="L.InfExp_Mean",="0.978***",="",="",=""
="",="(0.104)",="",="",=""

="L2.InfExp_Mean",="0.0165",="",="",=""
="",="(0.112)",="",="",=""

="L.InfExp_Mean_ch",="",="-0.00780",="",=""
="",="",="(0.101)",="",=""

="L2.InfExp_Mean_ch",="",="-0.0207",="",=""
="",="",="(0.103)",="",=""

="L.InfExp_Var",="",="",="0.668***",=""
="",="",="",="(0.101)",=""

="L2.InfExp_Var",="",="",="0.208",=""
="",="",="",="(0.106)",=""

="L.InfExp_Var_ch",="",="",="",="-0.311**"
="",="",="",="",="(0.102)"

="L2.InfExp_Var_ch",="",="",="",="0.0342"
="",="",="",="",="(0.101)"

="N",="96",="95",="96",="95"
="r2",="0.844",="0.000497",="0.636",="0.106"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
