
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPI_Meanlvl",="SPFCPI_Meandiff",="SPFCPI_Mean_rv",="SPFPCE_Meanlvl",="SPFPCE_Meandiff",="SPFPCE_Mean_rv",="SPFCPI_Varlvl",="SPFCPI_Vardiff",="SPFCPI_Var_rv",="SPFPCE_Varlvl",="SPFPCE_Vardiff",="SPFPCE_Var_rv"

="L.InfExp_Mean",="1.359***",="",="",="1.338***",="",="",="",="",="",="",="",=""
="",="(0.130)",="",="",="(0.129)",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean",="-0.433**",="",="",="-0.438**",="",="",="",="",="",="",="",=""
="",="(0.143)",="",="",="(0.140)",="",="",="",="",="",="",="",=""

="L.InfExp_Mean_ch",="",="0.441**",="",="",="0.427**",="",="",="",="",="",="",=""
="",="",="(0.134)",="",="",="(0.133)",="",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="",="-0.244",="",="",="-0.231",="",="",="",="",="",="",=""
="",="",="(0.140)",="",="",="(0.139)",="",="",="",="",="",="",=""

="L.InfExp_Mean_rv",="",="",="0.743***",="",="",="0.742***",="",="",="",="",="",=""
="",="",="",="(0.144)",="",="",="(0.141)",="",="",="",="",="",=""

="L2.InfExp_Mean_rv",="",="",="0.00589",="",="",="0.0967",="",="",="",="",="",=""
="",="",="",="(0.149)",="",="",="(0.148)",="",="",="",="",="",=""

="L.InfExp_Var",="",="",="",="",="",="",="0.551***",="",="",="0.447**",="",=""
="",="",="",="",="",="",="",="(0.134)",="",="",="(0.130)",="",=""

="L2.InfExp_Var",="",="",="",="",="",="",="-0.111",="",="",="0.217",="",=""
="",="",="",="",="",="",="",="(0.136)",="",="",="(0.134)",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.274*",="",="",="-0.502***",=""
="",="",="",="",="",="",="",="",="(0.113)",="",="",="(0.129)",=""

="L2.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.530***",="",="",="-0.260*",=""
="",="",="",="",="",="",="",="",="(0.113)",="",="",="(0.129)",=""

="L.InfExp_Var_rv",="",="",="",="",="",="",="",="",="0.0894",="",="",="0.0562"
="",="",="",="",="",="",="",="",="",="(0.124)",="",="",="(0.134)"

="L2.InfExp_Var_rv",="",="",="",="",="",="",="",="",="-0.380**",="",="",="-0.0602"
="",="",="",="",="",="",="",="",="",="(0.124)",="",="",="(0.134)"

="N",="60",="59",="59",="60",="59",="59",="60",="59",="59",="60",="59",="59"
="r2",="0.806",="0.171",="0.448",="0.795",="0.164",="0.525",="0.245",="0.304",="0.148",="0.323",="0.215",="0.00643"
="ar2",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
