
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeandiff0",="SCEMeandiff1",="SCEMeandiff2",="SCEMeandiff3",="SCEVardiff0",="SCEVardiff1",="SCEVardiff2",="SCEVardiff3"

="L.InfExp_Mean_ch",="",="-0.408***",="-0.569***",="-0.612***",="",="",="",=""
="",="",="(0.005)",="(0.008)",="(0.012)",="",="",="",=""

="L2.InfExp_Mean_ch",="",="",="-0.305***",="-0.385***",="",="",="",=""
="",="",="",="(0.007)",="(0.012)",="",="",="",=""

="L3.InfExp_Mean_ch",="",="",="-0.126***",="-0.241***",="",="",="",=""
="",="",="",="(0.007)",="(0.012)",="",="",="",=""

="L4.InfExp_Mean_ch",="",="",="",="-0.142***",="",="",="",=""
="",="",="",="",="(0.012)",="",="",="",=""

="L5.InfExp_Mean_ch",="",="",="",="-0.078***",="",="",="",=""
="",="",="",="",="(0.011)",="",="",="",=""

="L6.InfExp_Mean_ch",="",="",="",="-0.038***",="",="",="",=""
="",="",="",="",="(0.008)",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="-0.396***",="-0.572***",="-0.653***"
="",="",="",="",="",="",="(0.008)",="(0.010)",="(0.016)"

="L2.InfExp_Var_ch",="",="",="",="",="",="",="-0.307***",="-0.430***"
="",="",="",="",="",="",="",="(0.011)",="(0.018)"

="L3.InfExp_Var_ch",="",="",="",="",="",="",="-0.124***",="-0.269***"
="",="",="",="",="",="",="",="(0.006)",="(0.016)"

="L4.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.155***"
="",="",="",="",="",="",="",="",="(0.015)"

="L5.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.079***"
="",="",="",="",="",="",="",="",="(0.012)"

="L6.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.029**"
="",="",="",="",="",="",="",="",="(0.009)"

="_cons",="-0.034**",="-0.018",="0.002",="0.020",="-0.710***",="-0.717***",="-0.593***",="-0.448***"
="",="(0.013)",="(0.014)",="(0.017)",="(0.019)",="(0.072)",="(0.064)",="(0.072)",="(0.076)"

="N",="85166",="67555",="43489",="20894",="88052",="69979",="45003",="21476"
="r2",="0.000",="0.187",="0.259",="0.276",="0.000",="0.187",="0.271",="0.311"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
