
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="SPFCPIMeandiff0",="SPFCPIMeandiff1",="SPFCPIMeandiff2",="SPFCPIMeandiff3",="SPFPCEMeandiff0",="SPFPCEMeandiff1",="SPFPCEMeandiff2",="SPFPCEMeandiff3",="SPFCPIVardiff0",="SPFCPIVardiff1",="SPFCPIVardiff2",="SPFCPIVardiff3",="SPFPCEVardiff0",="SPFPCEVardiff1",="SPFPCEVardiff2",="SPFPCEVardiff3"

="L.InfExp_Mean_ch",="",="-0.249***",="-0.308***",="-0.311***",="",="-0.289***",="-0.324***",="-0.324***",="",="",="",="",="",="",="",=""
="",="",="(0.062)",="(0.054)",="(0.060)",="",="(0.060)",="(0.080)",="(0.089)",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="",="",="-0.194**",="-0.177**",="",="",="-0.100",="-0.100",="",="",="",="",="",="",="",=""
="",="",="",="(0.064)",="(0.060)",="",="",="(0.081)",="(0.096)",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="",="",="-0.075*",="",="",="",="0.014",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.036)",="",="",="",="(0.064)",="",="",="",="",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.381***",="-0.542***",="-0.601***",="",="-0.352***",="-0.428***",="-0.513***"
="",="",="",="",="",="",="",="",="",="",="(0.071)",="(0.075)",="(0.069)",="",="(0.043)",="(0.053)",="(0.054)"

="L2.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="",="-0.280***",="-0.428***",="",="",="-0.237***",="-0.430***"
="",="",="",="",="",="",="",="",="",="",="",="(0.059)",="(0.061)",="",="",="(0.044)",="(0.044)"

="L3.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="",="",="-0.293***",="",="",="",="-0.382***"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.078)",="",="",="",="(0.059)"

="_cons",="-0.019",="-0.015",="-0.019",="-0.021",="0.017",="0.026",="0.019",="0.017",="-0.002",="-0.001",="0.005",="0.006",="0.003",="0.004",="0.006",="0.008"
="",="(0.019)",="(0.019)",="(0.019)",="(0.020)",="(0.021)",="(0.024)",="(0.026)",="(0.028)",="(0.005)",="(0.006)",="(0.005)",="(0.005)",="(0.004)",="(0.005)",="(0.005)",="(0.004)"

="N",="4286",="3519",="2971",="2581",="1791",="1538",="1338",="1189",="1685",="1439",="1251",="1104",="1629",="1406",="1225",="1079"
="r2",="0.000",="0.072",="0.103",="0.089",="0.000",="0.077",="0.088",="0.088",="0.000",="0.130",="0.240",="0.286",="0.000",="0.125",="0.161",="0.286"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
