
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="SCE_FE_bias",="SCE_FE_lag1",="SCE_FE_lag4",="SCE_FE_lag8",="SCE_FE_arlag1",="SCE_FE_arlag4",="SCE_FE_arlag8"

="L.InfExp_Mean",="",="0.386***",="",="",="",="",=""
="",="",="(0.007)",="",="",="",="",=""

="L2.InfExp_Mean",="",="0.228***",="",="",="",="",=""
="",="",="(0.007)",="",="",="",="",=""

="L3.InfExp_Mean",="",="0.179***",="",="",="",="",=""
="",="",="(0.006)",="",="",="",="",=""

="L4.InfExp_Mean",="",="",="0.327***",="",="",="",=""
="",="",="",="(0.010)",="",="",="",=""

="L5.InfExp_Mean",="",="",="0.200***",="",="",="",=""
="",="",="",="(0.010)",="",="",="",=""

="L6.InfExp_Mean",="",="",="0.130***",="",="",="",=""
="",="",="",="(0.010)",="",="",="",=""

="L7.InfExp_Mean",="",="",="0.0824***",="",="",="",=""
="",="",="",="(0.008)",="",="",="",=""

="L8.InfExp_Mean",="",="",="",="0.341***",="",="",=""
="",="",="",="",="(0.024)",="",="",=""

="L9.InfExp_Mean",="",="",="",="0.177***",="",="",=""
="",="",="",="",="(0.024)",="",="",=""

="L10.InfExp_Mean",="",="",="",="0.0852***",="",="",=""
="",="",="",="",="(0.020)",="",="",=""

="L11.InfExp_Mean",="",="",="",="0.0260",="",="",=""
="",="",="",="",="(0.016)",="",="",=""

="L.InfExp_FE",="",="",="",="",="0.460***",="",=""
="",="",="",="",="",="(0.006)",="",=""

="L2.InfExp_FE",="",="",="",="",="0.221***",="",=""
="",="",="",="",="",="(0.006)",="",=""

="L3.InfExp_FE",="",="",="",="",="0.146***",="",=""
="",="",="",="",="",="(0.005)",="",=""

="L4.InfExp_FE",="",="",="",="",="",="0.356***",=""
="",="",="",="",="",="",="(0.010)",=""

="L5.InfExp_FE",="",="",="",="",="",="0.185***",=""
="",="",="",="",="",="",="(0.010)",=""

="L6.InfExp_FE",="",="",="",="",="",="0.111***",=""
="",="",="",="",="",="",="(0.009)",=""

="L7.InfExp_FE",="",="",="",="",="",="0.0677***",=""
="",="",="",="",="",="",="(0.008)",=""

="L8.InfExp_FE",="",="",="",="",="",="",="0.333***"
="",="",="",="",="",="",="",="(0.023)"

="L9.InfExp_FE",="",="",="",="",="",="",="0.163***"
="",="",="",="",="",="",="",="(0.024)"

="L10.InfExp_FE",="",="",="",="",="",="",="0.0685***"
="",="",="",="",="",="",="",="(0.020)"

="L11.InfExp_FE",="",="",="",="",="",="",="0.00838"
="",="",="",="",="",="",="",="(0.016)"

="_cons",="1.673***",="-1.033***",="-0.888***",="-0.538***",="0.198***",="0.274***",="0.509***"
="",="(0.008)",="(0.015)",="(0.024)",="(0.061)",="(0.008)",="(0.014)",="(0.035)"

="N",="112668",="54194",="24852",="4432",="54194",="24852",="4432"
="r2",="0",="0.424",="0.344",="0.248",="0.539",="0.377",="0.243"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
