
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SPFCPI_FE_bias",="SPFCPI_FE_lag4",="SPFCPI_FE_arlag4",="SPFCPI_FE_arlag13",="SPFPCE_FE_bias",="SPFPCE_FE_lag4",="SPFPCE_FE_arlag4",="SPFPCE_FE_arlag13"

="L4.InfExp_Mean",="",="0.363***",="",="",="",="0.520***",="",=""
="",="",="(0.033)",="",="",="",="(0.035)",="",=""

="L4.InfExp_FE",="",="",="0.363***",="",="",="",="0.520***",=""
="",="",="",="(0.033)",="",="",="",="(0.035)",=""

="L.InfExp_FE",="",="",="",="0.456***",="",="",="",="0.445***"
="",="",="",="",="(0.062)",="",="",="",="(0.073)"

="L2.InfExp_FE",="",="",="",="0.0893",="",="",="",="0.236***"
="",="",="",="",="(0.065)",="",="",="",="(0.054)"

="L3.InfExp_FE",="",="",="",="0.140*",="",="",="",="0.115*"
="",="",="",="",="(0.063)",="",="",="",="(0.047)"

="_cons",="-3.021***",="-3.555***",="0.358",="1.049***",="0.00175",="-2.463***",="-1.354***",="-0.353***"
="",="(0.242)",="(0.381)",="(0.229)",="(0.222)",="(0.077)",="(0.179)",="(0.154)",="(0.059)"

="N",="5375",="3832",="3832",="2865",="2027",="1498",="1498",="1232"
="R2",="0.731",="0.809",="0.809",="0.865",="0.737",="0.823",="0.823",="0.875"
="Time FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
