
="",="(1)",="(2)",="(3)",="(4)"
="",="SCEMeanrvlv0",="SCEMeanrvlv1",="SCEVarrvlv0",="SCEVarrvlv1"

="L.InfExp_Mean_rv",="",="0.324***",="",=""
="",="",="(0.016)",="",=""

="SCE_Mean_ct50",="",="0.677***",="",=""
="",="",="(0.139)",="",=""

="L.InfExp_Var_rv",="",="",="",="0.289***"
="",="",="",="",="(0.020)"

="_cons",="-0.305***",="-1.970***",="-5.324***",="-1.788***"
="",="(0.048)",="(0.396)",="(0.184)",="(0.196)"

="N",="12152",="4835",="12685",="5035"
="r2",="0.000",="0.130",="0.000",="0.110"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
