
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="SPFCPIMeanrvlv0",="SPFCPIMeanrvlv1",="SPFCPIMeanrvlv2",="SPFCPIMeanrvlv3",="SPFPCEMeanrvlv0",="SPFPCEMeanrvlv1",="SPFPCEMeanrvlv2",="SPFPCEMeanrvlv3",="SPFCPIVarrvlv0",="SPFCPIVarrvlv1",="SPFCPIVarrvlv2",="SPFCPIVarrvlv3",="SPFPCEVarrvlv0",="SPFPCEVarrvlv1",="SPFPCEVarrvlv2",="SPFPCEVarrvlv3"

="L4.InfExp_Mean_ct50",="",="-0.434*",="",="",="",="-0.470*",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.193)",="",="",="",="(0.194)",="",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean_rv",="",="",="0.226***",="",="",="",="0.289***",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.049)",="",="",="",="(0.053)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean_rv",="",="",="",="0.245***",="",="",="",="0.272***",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.045)",="",="",="",="(0.055)",="",="",="",="",="",="",="",=""

="L4.InfExp_Var_rv",="",="",="",="",="",="",="",="",="",="0.434***",="0.438***",="",="",="0.280***",="0.282***",=""
="",="",="",="",="",="",="",="",="",="",="(0.064)",="(0.066)",="",="",="(0.077)",="(0.079)",=""

="L5.InfExp_Var_rv",="",="",="",="",="",="",="",="",="",="",="",="0.457***",="",="",="",="0.265***"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.054)",="",="",="",="(0.074)"

="_cons",="-0.144***",="0.763",="-0.108***",="-0.097***",="-0.118***",="0.745*",="-0.094***",="-0.077***",="-0.088***",="-0.047***",="-0.046***",="-0.046***",="-0.068***",="-0.053***",="-0.053***",="-0.058***"
="",="(0.000)",="(0.406)",="(0.007)",="(0.006)",="(0.000)",="(0.360)",="(0.007)",="(0.006)",="(0.000)",="(0.009)",="(0.006)",="(0.005)",="(0.000)",="(0.008)",="(0.006)",="(0.006)"

="r2",="0.228",="0.028",="0.295",="0.309",="0.208",="0.032",="0.292",="0.278",="0.045",="0.192",="0.238",="0.270",="0.044",="0.097",="0.159",="0.135"
="N",="1629.000",="1629.000",="1228.000",="1093.000",="1292.000",="1292.000",="970.000",="866.000",="1460.000",="1092.000",="1092.000",="961.000",="1367.000",="1018.000",="1018.000",="890.000"
="hast",="Yes",="No",="Yes",="Yes",="Yes",="No",="Yes",="Yes",="Yes",="No",="Yes",="Yes",="Yes",="No",="Yes",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
