
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPIMeanrvlv1",="SPFCPIMeanrvlv2",="SPFCPIMeanrvlv3",="SPFPCEMeanrvlv1",="SPFPCEMeanrvlv2",="SPFPCEMeanrvlv3",="SPFCPIVarrvlv1",="SPFCPIVarrvlv2",="SPFCPIVarrvlv3",="SPFPCEVarrvlv1",="SPFPCEVarrvlv2",="SPFPCEVarrvlv3"

="L.InfExp_Mean",="0.217***",="0.198***",="0.204***",="0.235***",="0.251***",="0.268***",="",="",="",="",="",=""
="",="(0.025)",="(0.032)",="(0.031)",="(0.024)",="(0.036)",="(0.041)",="",="",="",="",="",=""

="L2.InfExp_Mean",="",="0.0347",="0.0169",="",="-0.0217",="-0.0211",="",="",="",="",="",=""
="",="",="(0.029)",="(0.029)",="",="(0.039)",="(0.048)",="",="",="",="",="",=""

="L3.InfExp_Mean",="",="",="0.0154",="",="",="-0.0160",="",="",="",="",="",=""
="",="",="",="(0.026)",="",="",="(0.036)",="",="",="",="",="",=""

="L.SPFCPI_ct50",="1.188***",="1.453***",="1.437***",="",="",="",="",="",="",="",="",=""
="",="(0.152)",="(0.267)",="(0.268)",="",="",="",="",="",="",="",="",=""

="L2.SPFCPI_ct50",="",="-0.316",="-0.189",="",="",="",="",="",="",="",="",=""
="",="",="(0.246)",="(0.347)",="",="",="",="",="",="",="",="",=""

="L3.SPFCPI_ct50",="",="",="-0.144",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.273)",="",="",="",="",="",="",="",="",=""

="L.SPFPCE_ct50",="",="",="",="1.147***",="1.445***",="1.477***",="",="",="",="",="",=""
="",="",="",="",="(0.180)",="(0.277)",="(0.294)",="",="",="",="",="",=""

="L2.SPFPCE_ct50",="",="",="",="",="-0.338",="-0.448",="",="",="",="",="",=""
="",="",="",="",="",="(0.214)",="(0.363)",="",="",="",="",="",=""

="L3.SPFPCE_ct50",="",="",="",="",="",="0.146",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.283)",="",="",="",="",="",=""

="L.InfExp_Var",="",="",="",="",="",="",="0.297***",="0.168***",="0.139***",="0.372***",="0.209***",="0.163***"
="",="",="",="",="",="",="",="(0.033)",="(0.035)",="(0.040)",="(0.026)",="(0.031)",="(0.036)"

="L2.InfExp_Var",="",="",="",="",="",="",="",="0.177***",="0.127*",="",="0.194***",="0.0927"
="",="",="",="",="",="",="",="",="(0.046)",="(0.054)",="",="(0.040)",="(0.053)"

="L3.InfExp_Var",="",="",="",="",="",="",="",="",="0.155**",="",="",="0.169**"
="",="",="",="",="",="",="",="",="",="(0.051)",="",="",="(0.056)"

="_cons",="-0.914**",="-0.841**",="-0.782*",="-0.755*",="-0.679*",="-0.804*",="0.0871***",="0.0757***",="0.0586***",="0.0734***",="0.0670***",="0.0627***"
="",="(0.312)",="(0.316)",="(0.332)",="(0.324)",="(0.325)",="(0.375)",="(0.006)",="(0.007)",="(0.008)",="(0.005)",="(0.005)",="(0.006)"

="N",="1765",="1578",="1420",="1513",="1325",="1170",="1696",="1449",="1256",="1622",="1391",="1210"
="pvtest",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="r2",="0.438",="0.453",="0.452",="0.451",="0.462",="0.463",="0.210",="0.243",="0.323",="0.289",="0.305",="0.314"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
