
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_FElvl",="SCE_FEdiff",="SCE_Varlvl",="SCE_Vardiff"

="L3.InfExp_Mean",="0.370***",="",="",="",="",=""
="",="(0.00844)",="",="",="",="",=""

="L4.InfExp_Mean",="0.221***",="",="",="",="",=""
="",="(0.00770)",="",="",="",="",=""

="L5.InfExp_Mean",="0.140***",="",="",="",="",=""
="",="(0.00702)",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="-0.000848",="",="",="",=""
="",="",="(0.00819)",="",="",="",=""

="L4.InfExp_Mean_ch",="",="-0.00290",="",="",="",=""
="",="",="(0.00930)",="",="",="",=""

="L5.InfExp_Mean_ch",="",="-0.00599",="",="",="",=""
="",="",="(0.00885)",="",="",="",=""

="L3.InfExp_FE",="",="",="0.395***",="",="",=""
="",="",="",="(0.0152)",="",="",=""

="L4.InfExp_FE",="",="",="0.203***",="",="",=""
="",="",="",="(0.00975)",="",="",=""

="L5.InfExp_FE",="",="",="0.125***",="",="",=""
="",="",="",="(0.00935)",="",="",=""

="L3.InfExp_FE_ch",="",="",="",="-0.0129",="",=""
="",="",="",="",="(0.00944)",="",=""

="L4.InfExp_FE_ch",="",="",="",="-0.0119",="",=""
="",="",="",="",="(0.00912)",="",=""

="L5.InfExp_FE_ch",="",="",="",="-0.00958",="",=""
="",="",="",="",="(0.00857)",="",=""

="L3.InfExp_Var",="",="",="",="",="0.376***",=""
="",="",="",="",="",="(0.0106)",=""

="L4.InfExp_Var",="",="",="",="",="0.249***",=""
="",="",="",="",="",="(0.00939)",=""

="L5.InfExp_Var",="",="",="",="",="0.141***",=""
="",="",="",="",="",="(0.00848)",=""

="L3.InfExp_Var_ch",="",="",="",="",="",="-0.00254"
="",="",="",="",="",="",="(0.0135)"

="L4.InfExp_Var_ch",="",="",="",="",="",="0.00892"
="",="",="",="",="",="",="(0.0130)"

="L5.InfExp_Var_ch",="",="",="",="",="",="0.000582"
="",="",="",="",="",="",="(0.0104)"

="_cons",="0.831***",="0.0173",="0.287***",="-0.0246",="0.879***",="-0.151"
="",="(0.0308)",="(0.0151)",="(0.0819)",="(0.0350)",="(0.0767)",="(0.0773)"

="N",="39758",="28732",="39758",="28732",="41328",="29743"
="R-sq",="0.414",="0.000",="0.401",="0.000",="0.523",="0.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
