
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPI_Meanlvl",="SPFCPI_Meandiff",="SPFPCE_Meanlvl",="SPFPCE_Meandiff",="SPFCPI_FElvl",="SPFCPI_FEdiff",="SPFPCE_FElvl",="SPFPCE_FEdiff",="SPFCPI_Varlvl",="SPFCPI_Vardiff",="SPFPCE_Varlvl",="SPFPCE_Vardiff"

="L3.InfExp_Mean",="0.409***",="",="0.268**",="",="",="",="",="",="",="",="",=""
="",="(0.0508)",="",="(0.0894)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean",="0.106",="",="0.101",="",="",="",="",="",="",="",="",=""
="",="(0.0567)",="",="(0.0557)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean",="0.237***",="",="0.197*",="",="",="",="",="",="",="",="",=""
="",="(0.0453)",="",="(0.0848)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="-0.0250",="",="-0.0451",="",="",="",="",="",="",="",=""
="",="",="(0.0377)",="",="(0.0474)",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean_ch",="",="-0.0565",="",="-0.0893",="",="",="",="",="",="",="",=""
="",="",="(0.0471)",="",="(0.0792)",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean_ch",="",="0.0258",="",="-0.0646",="",="",="",="",="",="",="",=""
="",="",="(0.0335)",="",="(0.0519)",="",="",="",="",="",="",="",=""

="L3.InfExp_FE",="",="",="",="",="0.398**",="",="0.398*",="",="",="",="",=""
="",="",="",="",="",="(0.140)",="",="(0.176)",="",="",="",="",=""

="L4.InfExp_FE",="",="",="",="",="-0.359**",="",="-0.420*",="",="",="",="",=""
="",="",="",="",="",="(0.116)",="",="(0.168)",="",="",="",="",=""

="L5.InfExp_FE",="",="",="",="",="0.146",="",="0.186",="",="",="",="",=""
="",="",="",="",="",="(0.0760)",="",="(0.133)",="",="",="",="",=""

="L3.InfExp_FE_ch",="",="",="",="",="",="0.0409",="",="-0.00672",="",="",="",=""
="",="",="",="",="",="",="(0.0588)",="",="(0.0895)",="",="",="",=""

="L4.InfExp_FE_ch",="",="",="",="",="",="-0.431**",="",="-0.463**",="",="",="",=""
="",="",="",="",="",="",="(0.131)",="",="(0.170)",="",="",="",=""

="L5.InfExp_FE_ch",="",="",="",="",="",="0.0543",="",="0.0694",="",="",="",=""
="",="",="",="",="",="",="(0.0689)",="",="(0.0750)",="",="",="",=""

="L3.InfExp_Var",="",="",="",="",="",="",="",="",="0.184**",="",="0.288***",=""
="",="",="",="",="",="",="",="",="",="(0.0634)",="",="(0.0572)",=""

="L4.InfExp_Var",="",="",="",="",="",="",="",="",="0.447***",="",="0.445***",=""
="",="",="",="",="",="",="",="",="",="(0.0700)",="",="(0.0758)",=""

="L5.InfExp_Var",="",="",="",="",="",="",="",="",="0.223***",="",="0.100",=""
="",="",="",="",="",="",="",="",="",="(0.0591)",="",="(0.0597)",=""

="L3.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.0258",="",="-0.0529"
="",="",="",="",="",="",="",="",="",="",="(0.0620)",="",="(0.0571)"

="L4.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="0.288**",="",="0.412***"
="",="",="",="",="",="",="",="",="",="",="(0.0884)",="",="(0.0737)"

="L5.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.0527",="",="-0.0685"
="",="",="",="",="",="",="",="",="",="",="(0.0653)",="",="(0.0521)"

="_cons",="0.572***",="-0.0192",="0.774***",="-0.0121",="0.153",="-0.0169",="0.252",="-0.0366",="0.0385***",="0.00226",="0.0471***",="0.00211"
="",="(0.0767)",="(0.0186)",="(0.116)",="(0.0282)",="(0.104)",="(0.0817)",="(0.150)",="(0.0983)",="(0.00775)",="(0.00548)",="(0.00779)",="(0.00461)"

="N",="2713",="2084",="1153",="941",="2713",="2084",="1153",="941",="1100",="884",="1039",="838"
="R-sq",="0.622",="0.005",="0.265",="0.006",="0.101",="0.192",="0.095",="0.191",="0.621",="0.110",="0.609",="0.200"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
